ESTADO_ELECCION,NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
HIDALGO,MORENA,2,SENADORES MR,MENCHACA SALAZAR JULIO RAMON,ROJAS MANCERA NAVOR ALBERTO,H,H
AGUASCALIENTES,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,GUTIERREZ CASTORENA DANIEL,PONCE LARRINUA ALEJANDRO,H,H
AGUASCALIENTES,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,MARTINEZ VAZQUEZ MA. GUADALUPE,MENA APARICIO CAROLINA,M,M
BAJA CALIFORNIA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,BONILLA VALDEZ JAIME,NOVELO OSUNA GERARDO,H,H
BAJA CALIFORNIA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,LEON GASTELUM ALEJANDRA DEL CARMEN,HERRERA RODRIGUEZ CLAUDIA,M,M
BAJA CALIFORNIA SUR,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,CASTRO COSIO VICTOR MANUEL,VELAZQUEZ MEZA RICARDO,H,H
BAJA CALIFORNIA SUR,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,TRASVIÑA WALDENRATH JESUS LUCIA,TREVIZO VASQUEZ MONICA,M,M
CAMPECHE,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,OSTOA ORTEGA ANIBAL,MOO CAHUICH ARTURO DEL CARMEN,H,H
CAMPECHE,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,SANCHEZ GARCIA CECILIA MARGARITA,RUIZ HERNANDEZ LIDA,M,M
CHIAPAS,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,RAMIREZ AGUILAR OSCAR EDUARDO,AGUILAR CASTILLEJOS JOSE ANTONIO,H,H
CHIAPAS,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,DE LEON VILLARD SASIL DORA LUZ,RODRIGUEZ JIMENEZ MARIA ISABEL,M,M
CHIHUAHUA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,CARAVEO CAMARENA BERTHA ALICIA,CAZARES HOLGUIN FLOR PILAR,M,M
CHIHUAHUA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,PEREZ CUELLAR CRUZ,ESPINO DE LA PEÑA RAFAEL,H,H
CIUDAD DE MEXICO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,BATRES GUADARRAMA MARTI,CRAVIOTO ROMERO CESAR ARNULFO,H,H
CIUDAD DE MEXICO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,HERNANDEZ MORA MINERVA CITLALLI,SANCHEZ SUGIA MARIA CELESTE,M,M
COAHUILA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,GUADIANA TIJERINA SANTANA ARMANDO,FLORES HURTADO REYES,H,H
COAHUILA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,GALAZ CALETTI EVA EUGENIA,MONTERO CUELLAR MONICA,M,M
COLIMA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,PADILLA PEÑA JOEL,GUIA VELAZQUEZ EDUARDO,H,H
COLIMA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,VALENCIA DE LA MORA GRICELDA,CONTRERAS RUIZ ANA MARIA,M,M
DURANGO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,GONZALEZ YAÑEZ ALEJANDRO,LUCERO OLIVAS MIGUEL ANGEL,H,H
DURANGO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,VALDEZ MARTINEZ LILIA MARGARITA,RICO RODRIGUEZ MARIA DE LA LUZ,M,M
GUANAJUATO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,MICHER CAMARENA MARTHA LUCIA,SALINAS CASTILLA ROSMILDA,M,M
GUANAJUATO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,BECERRA GONZALEZ CUAUHTEMOC,HERNANDEZ RAMOS JUAN FRANCISCO,H,H
GUERRERO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,SALGADO MACEDONIO J. FELIX,LOPEZ SOLLANO SAUL,H,H
GUERRERO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,SALGADO GARCÍA NESTORA,MARTINEZ SOLANO FELICITAS,M,M
JALISCO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,CARDENAS MARISCAL MARIA ANTONIA,DE ROBLES RAMIREZ ELISA ILEANA,M,M
JALISCO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,PEREZ GARIBAY ANTONIO,ARROYO ALZAGA CARLOS,H,H
MEXICO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,GOMEZ ALVAREZ DELFINA,GUERRERO SANCHEZ MARTHA,M,M
MEXICO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,MARTINEZ MIRANDA HIGINIO,MORENO BASTIDA RICARDO,H,H
MICHOACAN,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,PIÑA GUDIÑO BLANCA ESTELA,ANDRADE GARCIA PELAEZ GRACIELA CARMINA,M,M
MICHOACAN,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,ARIAS SOLIS CRISTOBAL,SOLORZANO FRAGA JOSE ALFONSO PASCUAL,H,H
MORELOS,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,MEZA GUZMAN LUCIA VIRGINIA,PEÑA OCAMPO LETICIA,M,M
MORELOS,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,SALAZAR SOLORIO RADAMES,PEREZ FLORES SERGIO,H,H
NAYARIT,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,PINEDO ALONSO CORA CECILIA,ALONSO GUTIERREZ SANDRA ELIZABETH,M,M
NAYARIT,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,NAVARRO QUINTERO MIGUEL ANGEL,SEPULVEDA ARCEGA DANIEL,H,H
NUEVO LEON,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,SUAREZ GARZA ALVARO JOSE,GUTIERREZ DAVILA CESAR,H,H
NUEVO LEON,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,DIAZ DELGADO BLANCA JUDITH,MARTINEZ MARTINEZ MARTHA ELVA,M,M
OAXACA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,HARP ITURRIBARRIA SUSANA,RUEDA GOMEZ CONCEPCION,M,M
OAXACA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,JARA CRUZ SALOMON,GOMEZ HERNANDEZ ADOLFO,H,H
PUEBLA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,ARMENTA MIER ALEJANDRO,ENCINAS MENESES JESUS,H,H
PUEBLA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,DE LA SIERRA ARAMBURO NANCY,GONZALEZ DE YTA SANDRA,M,M
QUERETARO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,HERRERA RUIZ GILBERTO,JIMENEZ YAÑEZ JUAN JOSE,H,H
QUERETARO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,MAYA GARCIA CELIA,TOVAR SAAVEDRA LAURA ANDREA,M,M
QUINTANA ROO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,VILLEGAS CANCHE FREYDA MARYBEL,LOPEZ GOMEZ GABRIELA,M,M
QUINTANA ROO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,PECH VARGUEZ JOSE LUIS,MARQUEZ VALDIVIA ROGELIO,H,H
SAN LUIS POTOSI,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,DOTHE MATA PRIMO,CERVANTES ROJAS ELI CESAR EDUARDO,H,H
SAN LUIS POTOSI,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,BANDA ZERMEÑO MARIA JOSEFINA,GUERRERO DURAN GUADALUPE ANA KAREN,M,M
SINALOA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,ROCHA MOYA RUBEN,ELENES ANGULO RAUL DE JESUS,H,H
SINALOA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,CASTRO CASTRO IMELDA,AVILA CARRANCIO ELIZABETH,M,M
SONORA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,TELLEZ GARCIA MARIA LILLY DEL CARMEN,CASTRO LONGORIA REINA,M,M
SONORA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,DURAZO MONTAÑO FRANCISCO ALFONSO,BOURS GRIFFITH ARTURO,H,H
